region,percentile,f_ghz,gamma_db_per_km,gammar_db_per_km,gamma_total_db_per_km,gamma_gaseous_dB_per_km,r_mm_per_h,pol,k,alpha,gamma_rain_dB_per_km,d_eff_km,a_r_db
Andean,50,6.0,0.0142184558352157,0.0182407124029129,0.0324591682381286,0.014218455835215712,10,V,0.0004878,1.5728,0.0182407124029129,20.0,0.3648142480582587
Andean,50,7.0,0.0192972476469037,0.0424927525579397,0.0617900002048434,0.019297247646903774,10,V,0.001425,1.4745,0.0424927525579397,20.0,0.8498550511587952
Andean,50,11.0,0.0472321471486026,0.2511869472649963,0.2984190944135989,0.04723214714860264,10,V,0.01731,1.1617,0.2511869472649963,20.0,5.023738945299926
Andean,50,15.0,0.0879613541102979,0.5541971910160153,0.6421585451263132,0.08796135411029792,10,V,0.05008,1.044,0.5541971910160153,20.0,11.083943820320306
Andean,50,18.0,0.1319439052985955,0.7752498769617397,0.9071937822603352,0.13194390529859557,10,V,0.07708,1.0025,0.7752498769617397,20.0,15.504997539234797
Andean,50,23.0,0.3393734639589362,1.1791390538849176,1.518512517843854,0.33937346395893625,10,V,0.1284,0.963,1.1791390538849176,20.0,23.58278107769835
Andean,50,32.0,0.3465579522771342,2.092617437189194,2.439175389466328,0.34655795227713426,10,V,0.2646,0.8981,2.092617437189194,20.0,41.85234874378388
Andean,50,38.0,0.4621471103874326,2.7541232975114216,3.2162704078988544,0.46214711038743267,10,V,0.3844,0.8552,2.7541232975114216,20.0,55.08246595022843
Andean,95,6.0,0.0161535311952341,0.1026734382055426,0.1188269694007767,0.01615353119523415,30,V,0.0004878,1.5728,0.1026734382055426,20.0,2.0534687641108533
Andean,95,7.0,0.0219281826483491,0.2146990656484002,0.2366272482967494,0.021928182648349198,30,V,0.001425,1.4745,0.2146990656484002,20.0,4.293981312968005
Andean,95,11.0,0.0538082797087144,0.9000545453794807,0.9538628250881952,0.053808279708714414,30,V,0.01731,1.1617,0.9000545453794807,20.0,18.001090907589614
Andean,95,15.0,0.100833219492903,1.7449336190381275,1.8457668385310304,0.10083321949290303,30,V,0.05008,1.044,1.7449336190381275,20.0,34.89867238076255
Andean,95,18.0,0.1531734580919093,2.3321461537997297,2.485319611891639,0.15317345809190933,30,V,0.07708,1.0025,2.3321461537997297,20.0,46.6429230759946
Andean,95,23.0,0.4193855157356045,3.3965091745198555,3.81589469025546,0.4193855157356045,30,V,0.1284,0.963,3.3965091745198555,20.0,67.93018349039711
Andean,95,32.0,0.4016686080369194,5.6129663513414325,6.014634959378352,0.4016686080369194,30,V,0.2646,0.8981,5.6129663513414325,20.0,112.25932702682866
Andean,95,38.0,0.53896233538357,7.04721426423805,7.58617659962162,0.53896233538357,30,V,0.3844,0.8552,7.04721426423805,20.0,140.944285284761
Coastal,50,6.0,0.0140986394711762,0.0061317129951851,0.0202303524663613,0.014098639471176287,5,V,0.0004878,1.5728,0.0061317129951851,20.0,0.1226342599037028
Coastal,50,7.0,0.0191345924806079,0.0152913608042502,0.0344259532848581,0.019134592480607938,5,V,0.001425,1.4745,0.0152913608042502,20.0,0.3058272160850055
Coastal,50,11.0,0.0468337117834034,0.1122769281251245,0.1591106399085279,0.04683371178340346,5,V,0.01731,1.1617,0.1122769281251245,20.0,2.2455385625024906
Coastal,50,15.0,0.0872193785206583,0.2687750830519588,0.3559944615726171,0.08721937852065832,5,V,0.05008,1.044,0.2687750830519588,20.0,5.375501661039176
Coastal,50,18.0,0.1308346626322797,0.3869538172979463,0.5177884799302261,0.13083466263227977,5,V,0.07708,1.0025,0.3869538172979463,20.0,7.739076345958927
Coastal,50,23.0,0.3366154056513029,0.6048854497997191,0.941500855451022,0.33661540565130293,5,V,0.1284,0.963,0.6048854497997191,20.0,12.097708995994385
Coastal,50,32.0,0.3435948430325378,1.12288375990605,1.4664786029385877,0.3435948430325378,5,V,0.2646,0.8981,1.12288375990605,20.0,22.457675198121
Coastal,50,38.0,0.4581729143234111,1.5224482057746898,1.980621120098101,0.4581729143234111,5,V,0.3844,0.8552,1.5224482057746898,20.0,30.448964115493794
Coastal,95,6.0,0.014410907707603,0.0345142251793152,0.0489251328869181,0.014410907707603,15,V,0.0004878,1.5728,0.0345142251793152,20.0,0.6902845035863039
Coastal,95,7.0,0.0195590656822386,0.0772611958401285,0.0968202615223671,0.019559065682238686,15,V,0.001425,1.4745,0.0772611958401285,20.0,1.54522391680257
Coastal,95,11.0,0.0478915508416217,0.402311348581551,0.4502028994231727,0.04789155084162178,15,V,0.01731,1.1617,0.402311348581551,20.0,8.04622697163102
Coastal,95,15.0,0.0892748958926945,0.8462595732708694,0.935534469163564,0.0892748958926945,15,V,0.05008,1.044,0.8462595732708694,20.0,16.925191465417388
Coastal,95,18.0,0.1341789072428257,1.1640541759854623,1.298233083228288,0.13417890724282572,15,V,0.07708,1.0025,1.1640541759854623,20.0,23.28108351970925
Coastal,95,23.0,0.3487174355511517,1.7423720917472318,2.091089527298384,0.34871743555115176,15,V,0.1284,0.963,1.7423720917472318,20.0,34.84744183494464
Coastal,95,32.0,0.3523203899796133,3.011878162157636,3.3641985521372493,0.35232038997961335,15,V,0.2646,0.8981,3.011878162157636,20.0,60.23756324315272
Coastal,95,38.0,0.4702779954958918,3.895620331157133,4.365898326653025,0.47027799549589183,15,V,0.3844,0.8552,3.895620331157133,20.0,77.91240662314267
Rainforest,50,6.0,0.0143585374941878,0.054262746678954,0.0686212841731418,0.01435853749418785,20,V,0.0004878,1.5728,0.054262746678954,20.0,1.0852549335790804
Rainforest,50,7.0,0.0194880066722209,0.118081970798074,0.1375699774702949,0.019488006672220913,20,V,0.001425,1.4745,0.118081970798074,20.0,2.361639415961481
Rainforest,50,11.0,0.0477185731228015,0.5619576838261316,0.6096762569489331,0.0477185731228015,20,V,0.01731,1.1617,0.5619576838261316,20.0,11.239153676522632
Rainforest,50,15.0,0.0889578216611765,1.1427194926051516,1.2316773142663282,0.08895782166117652,20,V,0.05008,1.044,1.1427194926051516,20.0,22.854389852103036
Rainforest,50,18.0,0.1337206590067292,1.5531888945455874,1.6869095535523166,0.13372065900672928,20,V,0.07708,1.0025,1.5531888945455874,20.0,31.063777890911748
Rainforest,50,23.0,0.3477955924723649,2.298565635620723,2.646361228093088,0.34779559247236497,20,V,0.1284,0.963,2.298565635620723,20.0,45.97131271241446
Rainforest,50,32.0,0.3510871772284544,3.899822844347359,4.250910021575813,0.35108717722845445,20,V,0.2646,0.8981,3.899822844347359,20.0,77.99645688694719
Rainforest,50,38.0,0.4686491480872103,4.982235263652532,5.450884411739742,0.46864914808721037,20,V,0.3844,0.8552,4.982235263652532,20.0,99.64470527305065
Rainforest,95,6.0,0.0150460585228468,0.3054344942752833,0.3204805527981302,0.015046058522846888,60,V,0.0004878,1.5728,0.3054344942752833,20.0,6.108689885505667
Rainforest,95,7.0,0.0204227263910032,0.59662147717308,0.6170442035640832,0.020422726391003225,60,V,0.001425,1.4745,0.59662147717308,20.0,11.9324295434616
Rainforest,95,11.0,0.0500534675521086,2.013610074670941,2.0636635422230496,0.05005346755210864,60,V,0.01731,1.1617,2.013610074670941,20.0,40.27220149341882
Rainforest,95,15.0,0.0935207759691359,3.597942559256489,3.6914633352256248,0.09352077596913592,60,V,0.05008,1.044,3.597942559256489,20.0,71.95885118512977
Rainforest,95,18.0,0.1412239324675491,4.672381917343682,4.813605849811231,0.14122393246754913,60,V,0.07708,1.0025,4.672381917343682,20.0,93.44763834687365
Rainforest,95,23.0,0.3758774416180264,6.621016617081544,6.996894058699571,0.3758774416180264,60,V,0.1284,0.963,6.621016617081544,20.0,132.42033234163088
Rainforest,95,32.0,0.3705927453371553,10.460380388933617,10.830973134270772,0.3705927453371553,60,V,0.2646,0.8981,10.460380388933617,20.0,209.20760777867235
Rainforest,95,38.0,0.495812130962831,12.748477691440876,13.244289822403706,0.49581213096283105,60,V,0.3844,0.8552,12.748477691440876,20.0,254.96955382881757
